2019-12-11,0
2019-5-9,3
2018-9-2,0
2018-4-11,1
2018-3-23,1
2017-1-28,3
2018-11-31,1
2019-12-23,1
2019-7-10,2
2019-8-17,4
2019-4-13,3
2017-9-14,1
2019-5-4,4
2018-10-12,4
2019-10-2,3
2018-12-26,2
2017-11-20,2
2018-5-12,0
2019-10-5,0
2017-10-28,3
2017-12-29,4
2017-9-7,1
2019-5-19,4
2019-8-20,3
2019-7-21,1
2017-12-21,3
2017-7-28,1
2019-7-31,0
2019-5-9,4
2019-10-14,2
2018-7-17,1
2019-12-3,4
2019-5-9,0
2017-5-17,0
2017-12-28,2
2018-12-9,3
2019-6-1,3
2019-1-6,1
2019-11-15,3
2017-12-8,0
2018-12-4,2
2019-4-6,1
2019-3-31,1
2019-5-9,1
2017-4-15,4
2018-7-23,4
2017-3-19,3
2018-12-9,3
2017-8-14,1
2017-6-29,4
2019-9-26,1
2019-6-28,1
2018-4-25,3
2017-6-17,2
2017-2-25,3
2018-4-20,3
2019-1-5,3
2017-9-12,1
2019-3-17,2
2017-7-1,2
2019-12-25,2
2019-12-7,3
2018-4-21,4
2019-4-24,1
2018-3-28,3
2018-7-6,1
2019-7-31,1
2018-12-24,1
2018-6-23,2
2019-3-17,4
2019-1-10,4
2017-8-12,0
2019-2-26,1
2017-10-6,2
2019-7-23,4
2019-10-13,2
2019-8-25,4
2018-9-14,0
2018-10-20,3
2018-5-10,4
2018-2-27,4
2018-12-12,1
2019-2-30,2
2019-7-11,1
2019-8-21,3
2019-8-31,3
2017-9-4,0
2019-1-19,3
2017-11-17,4
2017-3-31,1
2017-3-14,1
2019-12-5,4
2017-9-22,0
2019-10-12,3
2018-3-30,3
2018-6-10,1
2019-2-4,4
2019-1-9,4
2017-12-23,0
2019-2-17,2
2018-3-28,3
2019-6-3,0
2019-8-29,4
2019-10-25,4
2018-9-11,1
2018-1-22,3
2017-12-30,2
2019-3-14,0
2019-9-1,4
2019-11-19,3
2018-9-18,2
2018-11-17,4
2018-1-27,0
2019-11-29,2
2018-3-29,3
2018-9-27,4
2019-5-11,2
2018-7-21,2
2018-12-29,2
2018-7-4,4
2018-11-23,2
2017-3-22,2
2018-9-4,0
2019-11-31,1
2019-2-28,0
2018-5-3,1
2019-11-27,1
2017-12-12,0
2017-9-26,3
2019-8-1,4
2017-2-18,3
2018-12-8,0
2017-8-10,0
2018-9-30,3
2019-8-24,0
2017-1-5,4
2018-1-19,4
2018-5-28,0
2018-2-4,1
2017-10-2,2
2017-4-31,1
2019-3-13,2
2017-1-23,1
2017-10-19,0
2018-5-8,0
2019-7-20,4
2017-5-6,4
2019-12-4,3
2019-8-24,3
2018-3-23,2
2017-8-19,0
2017-6-29,0
2017-3-16,3
2017-11-22,1
2018-3-26,4
2017-2-9,0
2019-1-10,0
2018-10-16,0
2019-3-22,2
2017-3-17,3
2017-2-28,3
2019-9-16,0
2017-5-27,0
2019-12-15,3
2019-11-30,4
2018-2-10,4
2017-5-4,3
2019-12-2,0
2018-2-15,4
2017-5-29,2
2019-1-18,2
2019-10-28,0
2017-3-18,2
2018-8-30,2
2017-10-19,4
2017-5-4,4
2018-7-30,0
2019-4-24,3
2019-8-3,3
2018-8-24,0
2019-7-25,3
2018-9-13,2
2017-6-16,4
2017-11-19,2
2017-5-27,4
2019-12-1,2
2019-7-3,2
2019-6-18,4
2017-1-27,3
2018-7-23,3
2017-5-28,2
2018-4-18,3
2019-12-7,4
2019-10-29,3
2017-1-30,2
2019-4-28,1
2018-3-20,0
2019-7-9,3
2018-7-14,3
2018-1-5,2
2017-12-25,1
2019-7-27,4
2018-5-22,4
2018-11-16,0
2019-3-23,0
2017-6-13,1
2019-12-16,2
2019-10-23,1
2017-5-29,1
2018-10-10,0
2018-5-1,3
2019-5-12,1
2018-7-11,2
2019-11-23,0
2017-4-3,1
2017-8-26,1
2018-7-21,4
2017-10-27,2
2018-3-7,4
2018-3-16,1
2018-1-11,3
2018-5-30,0
2017-11-26,0
2019-1-31,1
2017-6-23,1
2018-1-12,3
2019-1-9,3
2017-2-4,4
2017-12-9,3
2017-2-31,2
2017-6-3,4
2019-11-4,0
2017-7-16,1
2019-2-28,4
2018-10-28,0
2017-9-21,0
2017-4-10,4
2019-9-28,4
2019-11-26,4
2018-8-5,1
2018-12-30,3
2017-9-15,2
2018-10-12,3
2019-11-19,3
2018-9-10,0
2018-2-27,1
2019-8-21,0
2019-6-5,4
2017-7-24,3
2017-9-11,4
2017-5-20,4
2017-6-23,1
2018-7-23,2
2017-9-8,1
2017-11-28,4
2019-4-16,3
2017-2-10,2
2018-4-2,3
